Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
1.98,0.989000,0.987746
1.99,0.988944,0.987949
2.00,0.988889,0.987940
2.01,0.988833,0.987867
2.02,0.988778,0.987914
2.03,0.988722,0.987837
2.04,0.988667,0.988018
2.05,0.988611,0.987827
2.06,0.988556,0.987879
2.07,0.988500,0.987620
2.08,0.988444,0.987776
2.09,0.988389,0.987532
2.10,0.988333,0.987494
2.11,0.988278,0.987467
2.12,0.988222,0.987716
2.13,0.988167,0.987782
2.14,0.988111,0.987953
2.15,0.988056,0.987664
2.16,0.988000,0.987415
2.17,0.987944,0.987317
2.18,0.987889,0.987248
2.19,0.987833,0.987042
2.20,0.987778,0.986763
2.21,0.987722,0.986711
2.22,0.987667,0.986695
2.23,0.987611,0.986474
2.24,0.987556,0.986531
2.25,0.987500,0.986350
2.26,0.987444,0.986571
2.27,0.987389,0.986556
2.28,0.987333,0.986605
2.29,0.987278,0.986578
2.30,0.987222,0.986337
2.31,0.987167,0.986062
2.32,0.987111,0.985607
2.33,0.987056,0.985695
2.34,0.987000,0.985940
2.35,0.986944,0.985618
2.36,0.986889,0.985385
2.37,0.986833,0.985307
2.38,0.986778,0.985228
2.39,0.986722,0.985287
2.40,0.986667,0.984922
2.41,0.986611,0.984860
2.42,0.986556,0.984511
2.43,0.986500,0.984692
2.44,0.986444,0.984773
2.45,0.986389,0.984569
2.46,0.986333,0.984990
2.47,0.986278,0.984640
2.48,0.986222,0.984847
2.49,0.986167,0.984771
2.50,0.986111,0.984732
2.51,0.986056,0.984332
2.52,0.986000,0.984620
2.53,0.985944,0.984588
2.54,0.985889,0.984589
2.55,0.985833,0.984355
2.56,0.985778,0.984383
2.57,0.985722,0.984236
2.58,0.985667,0.984075
2.59,0.985611,0.984186
2.60,0.985556,0.983916
2.61,0.985500,0.984023
2.62,0.985444,0.983771
2.63,0.985389,0.983324
2.64,0.985333,0.982897
2.65,0.985278,0.983185
2.66,0.985222,0.982768
2.67,0.985167,0.982445
2.68,0.985111,0.982399
2.69,0.985056,0.981976
2.70,0.985000,0.981841
2.71,0.984944,0.981825
2.72,0.984889,0.982137
2.73,0.984833,0.982071
2.74,0.984778,0.981852
2.75,0.984722,0.981887
2.76,0.984667,0.981957
2.77,0.984611,0.982060
2.78,0.984556,0.982276
2.79,0.984500,0.982179
2.80,0.984444,0.982585
2.81,0.984389,0.982382
2.82,0.984333,0.982104
2.83,0.984278,0.981715
2.84,0.984222,0.981458
2.85,0.984167,0.981766
2.86,0.984111,0.981351
2.87,0.984056,0.981000
2.88,0.984000,0.980732
2.89,0.983944,0.980487
2.90,0.983889,0.980439
2.91,0.983833,0.980641
2.92,0.983778,0.980735
2.93,0.983722,0.980798
2.94,0.983667,0.980563
2.95,0.983611,0.980788
2.96,0.983556,0.980846
2.97,0.983500,0.980555
2.98,0.983444,0.980586
2.99,0.983389,0.980310
3.00,0.983333,0.980518
3.01,0.983278,0.980267
3.02,0.983222,0.980694
3.03,0.983167,0.980636
3.04,0.983111,0.980490
3.05,0.983056,0.980564
3.06,0.983000,0.980489
3.07,0.982944,0.980408
3.08,0.982889,0.980307
3.09,0.982833,0.980189
3.10,0.982778,0.980053
3.11,0.982722,0.979764
3.12,0.982667,0.979850
3.13,0.982611,0.980060
3.14,0.982556,0.980340
3.15,0.982500,0.980130
3.16,0.982444,0.980091
3.17,0.982389,0.980546
3.18,0.982333,0.980535
3.19,0.982278,0.980085
3.20,0.982222,0.980207
3.21,0.982167,0.980095
3.22,0.982111,0.979749
3.23,0.982056,0.979744
3.24,0.982000,0.979970
3.25,0.981944,0.979334
3.26,0.981889,0.979612
3.27,0.981833,0.979578
3.28,0.981778,0.979490
3.29,0.981722,0.979308
3.30,0.981667,0.978998
3.31,0.981611,0.978546
3.32,0.981556,0.978351
3.33,0.981500,0.978552
3.34,0.981444,0.977972
3.35,0.981389,0.978331
3.36,0.981333,0.978105
3.37,0.981278,0.978064
3.38,0.981222,0.977806
3.39,0.981167,0.977733
3.40,0.981111,0.977353
3.41,0.981056,0.977070
3.42,0.981000,0.977154
3.43,0.980944,0.977054
3.44,0.980889,0.977423
3.45,0.980833,0.977307
3.46,0.980778,0.977645
3.47,0.980722,0.977158
3.48,0.980667,0.977290
3.49,0.980611,0.977111
3.50,0.980556,0.977743
3.51,0.980500,0.977790
3.52,0.980444,0.977580
3.53,0.980389,0.977229
3.54,0.980333,0.977691
3.55,0.980278,0.977359
3.56,0.980222,0.977313
3.57,0.980167,0.977337
3.58,0.980111,0.977032
3.59,0.980056,0.976967
3.60,0.980000,0.976577
3.61,0.979944,0.976142
3.62,0.979889,0.976193
3.63,0.979833,0.976709
3.64,0.979778,0.976771
3.65,0.979722,0.976968
3.66,0.979667,0.976883
3.67,0.979611,0.976915
3.68,0.979556,0.976857
3.69,0.979500,0.977341
3.70,0.979444,0.977517
3.71,0.979389,0.976856
3.72,0.979333,0.976980
3.73,0.979278,0.977058
3.74,0.979222,0.977464
3.75,0.979167,0.977424
3.76,0.979111,0.977163
3.77,0.979056,0.977640
3.78,0.979000,0.977682
3.79,0.978944,0.977996
3.80,0.978889,0.977719
3.81,0.978833,0.977421
3.82,0.978778,0.977510
3.83,0.978722,0.977686
3.84,0.978667,0.977447
3.85,0.978611,0.977188
3.86,0.978556,0.977316
3.87,0.978500,0.976950
3.88,0.978444,0.977021
3.89,0.978389,0.977128
3.90,0.978333,0.977450
3.91,0.978278,0.977127
3.92,0.978222,0.976804
3.93,0.978167,0.976392
3.94,0.978111,0.976508
3.95,0.978056,0.975941
3.96,0.978000,0.975983
3.97,0.977944,0.975701
3.98,0.977889,0.975142
3.99,0.977833,0.975218
4.00,0.977778,0.975750
4.01,0.977722,0.975114
4.02,0.977667,0.975048
4.03,0.977611,0.974956
4.04,0.977556,0.975084
4.05,0.977500,0.975127
4.06,0.977444,0.975446
4.07,0.977389,0.975017
4.08,0.977333,0.975502
4.09,0.977278,0.975671
4.10,0.977222,0.976037
4.11,0.977167,0.975430
4.12,0.977111,0.975254
4.13,0.977056,0.975400
4.14,0.977000,0.975289
4.15,0.976944,0.975993
4.16,0.976889,0.975423
4.17,0.976833,0.975407
