Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
22.77,0.929000,0.959067
22.78,0.928944,0.961741
22.79,0.928889,0.958974
22.80,0.928833,0.958710
22.81,0.928778,0.959269
22.82,0.928722,0.962595
22.83,0.928667,0.964382
22.84,0.928611,0.960406
22.85,0.928556,0.956340
22.86,0.928500,0.955189
22.87,0.928444,0.951327
22.88,0.928389,0.947539
22.89,0.928333,0.949672
22.90,0.928278,0.951815
22.91,0.928222,0.953372
22.92,0.928167,0.953637
22.93,0.928111,0.951926
22.94,0.928056,0.951619
22.95,0.928000,0.949945
22.96,0.927944,0.947921
22.97,0.927889,0.950706
22.98,0.927833,0.953325
22.99,0.927778,0.955290
23.00,0.927722,0.953755
23.01,0.927667,0.957528
23.02,0.927611,0.953475
23.03,0.927556,0.955492
23.04,0.927500,0.956539
23.05,0.927444,0.956956
23.06,0.927389,0.961221
23.07,0.927333,0.958403
23.08,0.927278,0.957349
23.09,0.927222,0.958355
23.10,0.927167,0.955090
23.11,0.927111,0.950175
23.12,0.927056,0.952974
23.13,0.927000,0.957045
23.14,0.926944,0.957501
23.15,0.926889,0.956729
23.16,0.926833,0.956526
23.17,0.926778,0.955601
23.18,0.926722,0.958350
23.19,0.926667,0.957390
23.20,0.926611,0.960441
23.21,0.926556,0.957499
23.22,0.926500,0.957492
23.23,0.926444,0.960874
23.24,0.926389,0.961639
23.25,0.926333,0.958940
23.26,0.926278,0.960851
23.27,0.926222,0.959108
23.28,0.926167,0.961238
23.29,0.926111,0.959878
23.30,0.926056,0.959321
23.31,0.926000,0.957719
23.32,0.925944,0.962051
23.33,0.925889,0.960888
23.34,0.925833,0.957353
23.35,0.925778,0.952041
23.36,0.925722,0.953477
23.37,0.925667,0.957170
23.38,0.925611,0.953921
23.39,0.925556,0.958669
23.40,0.925500,0.956896
23.41,0.925444,0.952802
23.42,0.925389,0.953656
23.43,0.925333,0.952196
23.44,0.925278,0.952389
23.45,0.925222,0.952130
23.46,0.925167,0.955742
23.47,0.925111,0.953902
23.48,0.925056,0.951926
23.49,0.925000,0.955598
23.50,0.924944,0.952124
23.51,0.924889,0.953043
23.52,0.924833,0.951409
23.53,0.924778,0.955152
23.54,0.924722,0.955447
23.55,0.924667,0.955899
23.56,0.924611,0.955162
23.57,0.924556,0.951397
23.58,0.924500,0.954745
23.59,0.924444,0.954192
23.60,0.924389,0.953540
23.61,0.924333,0.952446
23.62,0.924278,0.955776
23.63,0.924222,0.956951
23.64,0.924167,0.956687
23.65,0.924111,0.958860
23.66,0.924056,0.959183
23.67,0.924000,0.960516
23.68,0.923944,0.963183
23.69,0.923889,0.960642
23.70,0.923833,0.956565
23.71,0.923778,0.953813
23.72,0.923722,0.952926
23.73,0.923667,0.952847
23.74,0.923611,0.951122
23.75,0.923556,0.953522
23.76,0.923500,0.948434
23.77,0.923444,0.945942
23.78,0.923389,0.945997
23.79,0.923333,0.947531
23.80,0.923278,0.947842
23.81,0.923222,0.947807
23.82,0.923167,0.944808
23.83,0.923111,0.944541
23.84,0.923056,0.946841
23.85,0.923000,0.946018
23.86,0.922944,0.946463
23.87,0.922889,0.946902
23.88,0.922833,0.943109
23.89,0.922778,0.941559
23.90,0.922722,0.939006
23.91,0.922667,0.936160
23.92,0.922611,0.936569
23.93,0.922556,0.940233
23.94,0.922500,0.939645
23.95,0.922444,0.936950
23.96,0.922389,0.939747
23.97,0.922333,0.938419
23.98,0.922278,0.936831
23.99,0.922222,0.937449
24.00,0.922167,0.937769
24.01,0.922111,0.937449
24.02,0.922056,0.940640
24.03,0.922000,0.943824
24.04,0.921944,0.943328
24.05,0.921889,0.941056
24.06,0.921833,0.936181
24.07,0.921778,0.934795
24.08,0.921722,0.932744
24.09,0.921667,0.933148
24.10,0.921611,0.933261
24.11,0.921556,0.937230
24.12,0.921500,0.937140
24.13,0.921444,0.941609
24.14,0.921389,0.943567
24.15,0.921333,0.946926
24.16,0.921278,0.942651
24.17,0.921222,0.937940
24.18,0.921167,0.934014
24.19,0.921111,0.934792
24.20,0.921056,0.935609
24.21,0.921000,0.936934
24.22,0.920944,0.933425
24.23,0.920889,0.932759
24.24,0.920833,0.927707
24.25,0.920778,0.924494
24.26,0.920722,0.923543
24.27,0.920667,0.927080
24.28,0.920611,0.925499
24.29,0.920556,0.922959
24.30,0.920500,0.923318
24.31,0.920444,0.927905
24.32,0.920389,0.927166
24.33,0.920333,0.927373
24.34,0.920278,0.926008
24.35,0.920222,0.929614
24.36,0.920167,0.934078
24.37,0.920111,0.934085
24.38,0.920056,0.937118
24.39,0.920000,0.934374
24.40,0.919944,0.933493
24.41,0.919889,0.935020
24.42,0.919833,0.932839
24.43,0.919778,0.935373
24.44,0.919722,0.933297
24.45,0.919667,0.931557
24.46,0.919611,0.928270
24.47,0.919556,0.928616
24.48,0.919500,0.928542
24.49,0.919444,0.931980
24.50,0.919389,0.935289
24.51,0.919333,0.937479
24.52,0.919278,0.935404
24.53,0.919222,0.932665
24.54,0.919167,0.932325
24.55,0.919111,0.933223
24.56,0.919056,0.933338
24.57,0.919000,0.935622
24.58,0.918944,0.940034
24.59,0.918889,0.942947
24.60,0.918833,0.943268
24.61,0.918778,0.943645
24.62,0.918722,0.944246
24.63,0.918667,0.943887
24.64,0.918611,0.946129
24.65,0.918556,0.947854
24.66,0.918500,0.948368
24.67,0.918444,0.943090
24.68,0.918389,0.940689
24.69,0.918333,0.942410
24.70,0.918278,0.946513
24.71,0.918222,0.940255
24.72,0.918167,0.935363
24.73,0.918111,0.934355
24.74,0.918056,0.937563
24.75,0.918000,0.939049
24.76,0.917944,0.934227
24.77,0.917889,0.932996
24.78,0.917833,0.928116
24.79,0.917778,0.925705
24.80,0.917722,0.926717
24.81,0.917667,0.927891
24.82,0.917611,0.924289
24.83,0.917556,0.923132
24.84,0.917500,0.920100
24.85,0.917444,0.916003
24.86,0.917389,0.917690
24.87,0.917333,0.915956
24.88,0.917278,0.915686
24.89,0.917222,0.916430
24.90,0.917167,0.917037
24.91,0.917111,0.918997
24.92,0.917056,0.919071
24.93,0.917000,0.920155
24.94,0.916944,0.919785
24.95,0.916889,0.919238
24.96,0.916833,0.923474
24.97,0.916778,0.925054
24.98,0.916722,0.925884
24.99,0.916667,0.921740
25.00,0.916667,0.917795
25.01,0.916667,0.919309
25.02,0.916667,0.917805
25.03,0.916667,0.916930
25.04,0.916667,0.916310
25.05,0.916667,0.920788
25.06,0.916667,0.919482
25.07,0.916667,0.923421
25.08,0.916667,0.921220
25.09,0.916667,0.921042
25.10,0.916667,0.917574
25.11,0.916667,0.915679
25.12,0.916667,0.911839
25.13,0.916667,0.915466
25.14,0.916667,0.916612
25.15,0.916667,0.918880
25.16,0.916667,0.919898
25.17,0.916667,0.920594
25.18,0.916667,0.922900
25.19,0.916667,0.924679
25.20,0.916667,0.924070
25.21,0.916667,0.925946
25.22,0.916667,0.926040
25.23,0.916667,0.925524
25.24,0.916667,0.923092
25.25,0.916667,0.925719
25.26,0.916667,0.921895
25.27,0.916667,0.922739
25.28,0.916667,0.925559
25.29,0.916667,0.928441
25.30,0.916667,0.929507
25.31,0.916667,0.934184
25.32,0.916667,0.935495
25.33,0.916667,0.934661
25.34,0.916667,0.935842
25.35,0.916667,0.936219
25.36,0.916667,0.934040
25.37,0.916667,0.935057
25.38,0.916667,0.936962
25.39,0.916667,0.936583
25.40,0.916667,0.934996
25.41,0.916667,0.935508
25.42,0.916667,0.940931
25.43,0.916667,0.937431
25.44,0.916667,0.937466
25.45,0.916667,0.936103
25.46,0.916667,0.936959
25.47,0.916667,0.939505
25.48,0.916667,0.933657
25.49,0.916667,0.936761
25.50,0.916667,0.935781
25.51,0.916667,0.931346
25.52,0.916667,0.932125
25.53,0.916667,0.930875
25.54,0.916667,0.933131
25.55,0.916667,0.933024
25.56,0.916667,0.931510
25.57,0.916667,0.931313
25.58,0.916667,0.928487
25.59,0.916667,0.929634
25.60,0.916667,0.933510
25.61,0.916667,0.933210
25.62,0.916667,0.937746
25.63,0.916667,0.932270
25.64,0.916667,0.933158
25.65,0.916667,0.934941
25.66,0.916667,0.934670
25.67,0.916667,0.933480
25.68,0.916667,0.930843
25.69,0.916667,0.932190
25.70,0.916667,0.934062
25.71,0.916667,0.932764
25.72,0.916667,0.929159
25.73,0.916667,0.929130
25.74,0.916667,0.930637
25.75,0.916667,0.931069
25.76,0.916667,0.933095
25.77,0.916667,0.932673
25.78,0.916667,0.931526
25.79,0.916667,0.927012
25.80,0.916667,0.929495
25.81,0.916667,0.923728
25.82,0.916667,0.921781
25.83,0.916667,0.924754
25.84,0.916667,0.925440
25.85,0.916667,0.921295
25.86,0.916667,0.919957
25.87,0.916667,0.922042
25.88,0.916667,0.922598
25.89,0.916667,0.918943
25.90,0.916667,0.922107
25.91,0.916667,0.924397
25.92,0.916667,0.925897
25.93,0.916667,0.924639
25.94,0.916667,0.925893
25.95,0.916667,0.923397
25.96,0.916667,0.919282
25.97,0.916667,0.916496
25.98,0.916667,0.916500
25.99,0.916667,0.912714
26.00,0.916667,0.913537
26.01,0.916667,0.912170
26.02,0.916667,0.913756
26.03,0.916667,0.917606
26.04,0.916667,0.914412
26.05,0.916667,0.915079
26.06,0.916667,0.915425
26.07,0.916667,0.914204
26.08,0.916667,0.914815
26.09,0.916667,0.915283
26.10,0.916667,0.919359
26.11,0.916667,0.921290
26.12,0.916667,0.924365
26.13,0.916667,0.926188
26.14,0.916667,0.925791
26.15,0.916667,0.929022
26.16,0.916667,0.931934
26.17,0.916667,0.929535
26.18,0.916667,0.928940
26.19,0.916667,0.930110
26.20,0.916667,0.931813
26.21,0.916667,0.926162
26.22,0.916667,0.925138
26.23,0.916667,0.925952
26.24,0.916667,0.930820
26.25,0.916667,0.930882
26.26,0.916667,0.930190
26.27,0.916667,0.930895
26.28,0.916667,0.932653
26.29,0.916667,0.937323
26.30,0.916667,0.937938
26.31,0.916667,0.940863
26.32,0.916667,0.944478
26.33,0.916667,0.944688
26.34,0.916667,0.946838
26.35,0.916667,0.947120
26.36,0.916667,0.950979
26.37,0.916667,0.947833
26.38,0.916667,0.942550
26.39,0.916667,0.944815
26.40,0.916667,0.943499
26.41,0.916667,0.947571
26.42,0.916667,0.950671
26.43,0.916667,0.947904
26.44,0.916667,0.945319
26.45,0.916667,0.948411
26.46,0.916667,0.944679
26.47,0.916667,0.944248
26.48,0.916667,0.944141
26.49,0.916667,0.939615
26.50,0.916667,0.941000
26.51,0.916667,0.941603
26.52,0.916667,0.936366
26.53,0.916667,0.937192
26.54,0.916667,0.938318
26.55,0.916667,0.940628
26.56,0.916667,0.939649
26.57,0.916667,0.936858
26.58,0.916667,0.936663
26.59,0.916667,0.935520
26.60,0.916667,0.935544
26.61,0.916667,0.936841
26.62,0.916667,0.939001
26.63,0.916667,0.934950
26.64,0.916667,0.932257
26.65,0.916667,0.937635
26.66,0.916667,0.934184
26.67,0.916667,0.933353
26.68,0.916667,0.929929
26.69,0.916667,0.930141
26.70,0.916667,0.933409
26.71,0.916667,0.932526
26.72,0.916667,0.931601
26.73,0.916667,0.932929
26.74,0.916667,0.930462
26.75,0.916667,0.934242
26.76,0.916667,0.931235
26.77,0.916667,0.928935
26.78,0.916667,0.926430
26.79,0.916667,0.921484
26.80,0.916667,0.922911
26.81,0.916667,0.920472
26.82,0.916667,0.920256
26.83,0.916667,0.923251
26.84,0.916667,0.928546
26.85,0.916667,0.933725
26.86,0.916667,0.937187
26.87,0.916667,0.933462
26.88,0.916667,0.936295
26.89,0.916667,0.934446
26.90,0.916667,0.935910
26.91,0.916667,0.935869
26.92,0.916667,0.937241
26.93,0.916667,0.937749
26.94,0.916667,0.941006
26.95,0.916667,0.944256
26.96,0.916667,0.947372
26.97,0.916667,0.945149
26.98,0.916667,0.945033
26.99,0.916667,0.946138
27.00,0.916667,0.947414
27.01,0.916667,0.941384
27.02,0.916667,0.940705
27.03,0.916667,0.937527
27.04,0.916667,0.941575
27.05,0.916667,0.939473
27.06,0.916667,0.940064
27.07,0.916667,0.941864
27.08,0.916667,0.940787
27.09,0.916667,0.941671
27.10,0.916667,0.936976
27.11,0.916667,0.937423
27.12,0.916667,0.939610
27.13,0.916667,0.940325
27.14,0.916667,0.940895
27.15,0.916667,0.940872
27.16,0.916667,0.943178
27.17,0.916667,0.938182
27.18,0.916667,0.934850
27.19,0.916667,0.935153
27.20,0.916667,0.932991
27.21,0.916667,0.932104
27.22,0.916667,0.929230
27.23,0.916667,0.928172
27.24,0.916667,0.925122
27.25,0.916667,0.921818
27.26,0.916667,0.919820
27.27,0.916667,0.920922
27.28,0.916667,0.922193
27.29,0.916667,0.923112
27.30,0.916667,0.924272
27.31,0.916667,0.918440
27.32,0.916667,0.920355
27.33,0.916667,0.920792
27.34,0.916667,0.923695
27.35,0.916667,0.919822
27.36,0.916667,0.914732
27.37,0.916667,0.913340
27.38,0.916667,0.915439
27.39,0.916667,0.915791
27.40,0.916667,0.914309
27.41,0.916667,0.912540
27.42,0.916667,0.912244
27.43,0.916667,0.912347
27.44,0.916667,0.909443
27.45,0.916667,0.910850
27.46,0.916667,0.910853
27.47,0.916667,0.911771
27.48,0.916667,0.911170
27.49,0.916667,0.905863
27.50,0.916667,0.909516
27.51,0.916667,0.909159
27.52,0.916667,0.910383
27.53,0.916667,0.908756
27.54,0.916667,0.908216
27.55,0.916667,0.912414
27.56,0.916667,0.914216
27.57,0.916667,0.914932
27.58,0.916667,0.915561
27.59,0.916667,0.917560
27.60,0.916667,0.918724
27.61,0.916667,0.920458
27.62,0.916667,0.918925
27.63,0.916667,0.918347
27.64,0.916667,0.918577
27.65,0.916667,0.913534
27.66,0.916667,0.914467
27.67,0.916667,0.914785
27.68,0.916667,0.914763
27.69,0.916667,0.914017
27.70,0.916667,0.914215
27.71,0.916667,0.914141
27.72,0.916667,0.916444
27.73,0.916667,0.914798
27.74,0.916667,0.909560
27.75,0.916667,0.907348
27.76,0.916667,0.903995
27.77,0.916667,0.902239
27.78,0.916667,0.905281
27.79,0.916667,0.908981
27.80,0.916667,0.905978
27.81,0.916667,0.902714
27.82,0.916667,0.904488
27.83,0.916667,0.906223
27.84,0.916667,0.910699
27.85,0.916667,0.910172
27.86,0.916667,0.912104
27.87,0.916667,0.907961
27.88,0.916667,0.906564
27.89,0.916667,0.905337
27.90,0.916667,0.906058
27.91,0.916667,0.908427
27.92,0.916667,0.906223
27.93,0.916667,0.903936
27.94,0.916667,0.901436
27.95,0.916667,0.900986
27.96,0.916667,0.905467
27.97,0.916667,0.904924
27.98,0.916667,0.905787
27.99,0.916667,0.907698
28.00,0.916667,0.903836
28.01,0.916667,0.904324
28.02,0.916667,0.899737
28.03,0.916667,0.902657
28.04,0.916667,0.903107
28.05,0.916667,0.902348
28.06,0.916667,0.901471
28.07,0.916667,0.899009
28.08,0.916667,0.902077
28.09,0.916667,0.903878
28.10,0.916667,0.905766
28.11,0.916667,0.904269
28.12,0.916667,0.905145
28.13,0.916667,0.910219
28.14,0.916667,0.915043
28.15,0.916667,0.915336
28.16,0.916667,0.916429
28.17,0.916667,0.917365
28.18,0.916667,0.914994
28.19,0.916667,0.914956
28.20,0.916667,0.909691
28.21,0.916667,0.913064
28.22,0.916667,0.911934
28.23,0.916667,0.907472
28.24,0.916667,0.908883
28.25,0.916667,0.905699
28.26,0.916667,0.903933
28.27,0.916667,0.902877
28.28,0.916667,0.905677
28.29,0.916667,0.910763
28.30,0.916667,0.915598
28.31,0.916667,0.912045
28.32,0.916667,0.909112
28.33,0.916667,0.914391
28.34,0.916667,0.914161
28.35,0.916667,0.913327
28.36,0.916667,0.911978
28.37,0.916667,0.910054
28.38,0.916667,0.910264
28.39,0.916667,0.911074
28.40,0.916667,0.912677
28.41,0.916667,0.909585
28.42,0.916667,0.909742
28.43,0.916667,0.911850
28.44,0.916667,0.910465
28.45,0.916667,0.912419
28.46,0.916667,0.913386
28.47,0.916667,0.914194
28.48,0.916667,0.918296
28.49,0.916667,0.918710
28.50,0.916667,0.919726
28.51,0.916667,0.919435
28.52,0.916667,0.921320
28.53,0.916667,0.924650
28.54,0.916667,0.925869
28.55,0.916667,0.928210
28.56,0.916667,0.926018
28.57,0.916667,0.926935
28.58,0.916667,0.928711
28.59,0.916667,0.930240
28.60,0.916667,0.930581
28.61,0.916667,0.932951
28.62,0.916667,0.933636
28.63,0.916667,0.932470
28.64,0.916667,0.929157
28.65,0.916667,0.933948
28.66,0.916667,0.929236
28.67,0.916667,0.928445
28.68,0.916667,0.929513
28.69,0.916667,0.930968
28.70,0.916667,0.926798
28.71,0.916667,0.926682
28.72,0.916667,0.924251
28.73,0.916667,0.924530
28.74,0.916667,0.928216
28.75,0.916667,0.927380
28.76,0.916667,0.924314
28.77,0.916667,0.924667
28.78,0.916667,0.926919
28.79,0.916667,0.925636
28.80,0.916667,0.922948
28.81,0.916667,0.927569
28.82,0.916667,0.932080
28.83,0.916667,0.933817
28.84,0.916667,0.931134
28.85,0.916667,0.928926
28.86,0.916667,0.932317
28.87,0.916667,0.932547
28.88,0.916667,0.934895
28.89,0.916667,0.931774
28.90,0.916667,0.928796
28.91,0.916667,0.923897
28.92,0.916667,0.921926
28.93,0.916667,0.921513
28.94,0.916667,0.925157
28.95,0.916667,0.923018
28.96,0.916667,0.927109
28.97,0.916667,0.925605
28.98,0.916667,0.919123
28.99,0.916667,0.922282
29.00,0.916667,0.919726
29.01,0.916667,0.919291
29.02,0.916667,0.915567
29.03,0.916667,0.911792
29.04,0.916667,0.909556
29.05,0.916667,0.910197
29.06,0.916667,0.912338
29.07,0.916667,0.917318
29.08,0.916667,0.917561
29.09,0.916667,0.920626
29.10,0.916667,0.917480
29.11,0.916667,0.921312
29.12,0.916667,0.922357
29.13,0.916667,0.927177
29.14,0.916667,0.926285
29.15,0.916667,0.924103
29.16,0.916667,0.920664
29.17,0.916667,0.920696
29.18,0.916667,0.925149
29.19,0.916667,0.926659
29.20,0.916667,0.926127
29.21,0.916667,0.929695
29.22,0.916667,0.934909
29.23,0.916667,0.936462
29.24,0.916667,0.931678
29.25,0.916667,0.929918
29.26,0.916667,0.934160
29.27,0.916667,0.933032
29.28,0.916667,0.930130
29.29,0.916667,0.927222
29.30,0.916667,0.925913
29.31,0.916667,0.924777
29.32,0.916667,0.921515
29.33,0.916667,0.922288
29.34,0.916667,0.922137
29.35,0.916667,0.915735
29.36,0.916667,0.922213
29.37,0.916667,0.924152
29.38,0.916667,0.923057
29.39,0.916667,0.923517
29.40,0.916667,0.926678
29.41,0.916667,0.929277
29.42,0.916667,0.928539
29.43,0.916667,0.927822
29.44,0.916667,0.927678
29.45,0.916667,0.926626
29.46,0.916667,0.924630
29.47,0.916667,0.920515
29.48,0.916667,0.921318
29.49,0.916667,0.916096
29.50,0.916667,0.916308
29.51,0.916667,0.917979
29.52,0.916667,0.922125
29.53,0.916667,0.923094
29.54,0.916667,0.917467
29.55,0.916667,0.917084
29.56,0.916667,0.918739
29.57,0.916667,0.916010
29.58,0.916667,0.918109
29.59,0.916667,0.922398
29.60,0.916667,0.925883
29.61,0.916667,0.929706
29.62,0.916667,0.931542
29.63,0.916667,0.929827
29.64,0.916667,0.931030
29.65,0.916667,0.931922
29.66,0.916667,0.930128
29.67,0.916667,0.929640
29.68,0.916667,0.932255
29.69,0.916667,0.933051
29.70,0.916667,0.935162
29.71,0.916667,0.935958
29.72,0.916667,0.936588
29.73,0.916667,0.931721
29.74,0.916667,0.934431
29.75,0.916667,0.936720
29.76,0.916667,0.938600
29.77,0.916667,0.940016
29.78,0.916667,0.935127
29.79,0.916667,0.933666
29.80,0.916667,0.932877
29.81,0.916667,0.935490
29.82,0.916667,0.929509
29.83,0.916667,0.932492
29.84,0.916667,0.929263
29.85,0.916667,0.929996
29.86,0.916667,0.926402
29.87,0.916667,0.922047
29.88,0.916667,0.920694
29.89,0.916667,0.921000
29.90,0.916667,0.925536
29.91,0.916667,0.922893
29.92,0.916667,0.924062
29.93,0.916667,0.923080
29.94,0.916667,0.922899
29.95,0.916667,0.922302
29.96,0.916667,0.918532
29.97,0.916667,0.917471
29.98,0.916667,0.916297
29.99,0.916667,0.913095
30.00,0.916611,0.909417
30.01,0.916556,0.913345
30.02,0.916500,0.909800
30.03,0.916444,0.909182
30.04,0.916389,0.907084
30.05,0.916333,0.910214
30.06,0.916278,0.904321
30.07,0.916222,0.904323
30.08,0.916167,0.907383
30.09,0.916111,0.912069
30.10,0.916056,0.910598
30.11,0.916000,0.907027
30.12,0.915944,0.902120
30.13,0.915889,0.902737
30.14,0.915833,0.901990
30.15,0.915778,0.902536
30.16,0.915722,0.903848
30.17,0.915667,0.904135
30.18,0.915611,0.902773
30.19,0.915556,0.902514
30.20,0.915500,0.905395
30.21,0.915444,0.909487
30.22,0.915389,0.914973
30.23,0.915333,0.909833
30.24,0.915278,0.910597
30.25,0.915222,0.908772
30.26,0.915167,0.907134
30.27,0.915111,0.905823
30.28,0.915056,0.902754
30.29,0.915000,0.899262
30.30,0.914944,0.900789
30.31,0.914889,0.902702
30.32,0.914833,0.903426
30.33,0.914778,0.902771
30.34,0.914722,0.902988
30.35,0.914667,0.901550
30.36,0.914611,0.901219
30.37,0.914556,0.896236
30.38,0.914500,0.899903
30.39,0.914444,0.899609
30.40,0.914389,0.899533
30.41,0.914333,0.899242
30.42,0.914278,0.899815
30.43,0.914222,0.894632
30.44,0.914167,0.890366
30.45,0.914111,0.891233
30.46,0.914056,0.892504
30.47,0.914000,0.889146
30.48,0.913944,0.892048
30.49,0.913889,0.892863
30.50,0.913833,0.893804
30.51,0.913778,0.888821
30.52,0.913722,0.890149
30.53,0.913667,0.885684
30.54,0.913611,0.884714
30.55,0.913556,0.883190
30.56,0.913500,0.886457
30.57,0.913444,0.885458
30.58,0.913389,0.885706
30.59,0.913333,0.888903
30.60,0.913278,0.883943
30.61,0.913222,0.887477
30.62,0.913167,0.893227
30.63,0.913111,0.894719
30.64,0.913056,0.900504
30.65,0.913000,0.906505
30.66,0.912944,0.905778
30.67,0.912889,0.903049
30.68,0.912833,0.904142
30.69,0.912778,0.902752
30.70,0.912722,0.903056
30.71,0.912667,0.905087
30.72,0.912611,0.907648
30.73,0.912556,0.902831
30.74,0.912500,0.906461
30.75,0.912444,0.903621
30.76,0.912389,0.902589
30.77,0.912333,0.907890
30.78,0.912278,0.912912
30.79,0.912222,0.911209
30.80,0.912167,0.913973
30.81,0.912111,0.911295
30.82,0.912056,0.910353
30.83,0.912000,0.912044
30.84,0.911944,0.914491
30.85,0.911889,0.913241
30.86,0.911833,0.909916
30.87,0.911778,0.909510
30.88,0.911722,0.914051
30.89,0.911667,0.912081
30.90,0.911611,0.908193
30.91,0.911556,0.910367
30.92,0.911500,0.906659
30.93,0.911444,0.907049
30.94,0.911389,0.906407
30.95,0.911333,0.905780
30.96,0.911278,0.907355
30.97,0.911222,0.905100
30.98,0.911167,0.906101
30.99,0.911111,0.911673
31.00,0.911056,0.917905
31.01,0.911000,0.919745
31.02,0.910944,0.918840
31.03,0.910889,0.919342
31.04,0.910833,0.913847
31.05,0.910778,0.913600
31.06,0.910722,0.911751
31.07,0.910667,0.908778
31.08,0.910611,0.913260
31.09,0.910556,0.917189
31.10,0.910500,0.914799
31.11,0.910444,0.911151
31.12,0.910389,0.910671
31.13,0.910333,0.906468
31.14,0.910278,0.907127
31.15,0.910222,0.912458
31.16,0.910167,0.910768
31.17,0.910111,0.908821
31.18,0.910056,0.910589
31.19,0.910000,0.912679
31.20,0.909944,0.907452
31.21,0.909889,0.909764
31.22,0.909833,0.910258
31.23,0.909778,0.910666
31.24,0.909722,0.908122
31.25,0.909667,0.906815
31.26,0.909611,0.905616
31.27,0.909556,0.900989
31.28,0.909500,0.900451
31.29,0.909444,0.899037
31.30,0.909389,0.906117
31.31,0.909333,0.907054
31.32,0.909278,0.908561
31.33,0.909222,0.908113
31.34,0.909167,0.906565
31.35,0.909111,0.910506
31.36,0.909056,0.904625
31.37,0.909000,0.904121
31.38,0.908944,0.902229
31.39,0.908889,0.903851
31.40,0.908833,0.908451
31.41,0.908778,0.909024
31.42,0.908722,0.907221
31.43,0.908667,0.908856
31.44,0.908611,0.910597
31.45,0.908556,0.908674
31.46,0.908500,0.904807
31.47,0.908444,0.910123
31.48,0.908389,0.908430
31.49,0.908333,0.909364
31.50,0.908278,0.905320
31.51,0.908222,0.906259
31.52,0.908167,0.904811
31.53,0.908111,0.903912
31.54,0.908056,0.898964
31.55,0.908000,0.900211
31.56,0.907944,0.904833
31.57,0.907889,0.907562
31.58,0.907833,0.907771
31.59,0.907778,0.904192
31.60,0.907722,0.904933
31.61,0.907667,0.904541
31.62,0.907611,0.905636
31.63,0.907556,0.902991
31.64,0.907500,0.904273
31.65,0.907444,0.905672
31.66,0.907389,0.903839
31.67,0.907333,0.905908
31.68,0.907278,0.910303
31.69,0.907222,0.909384
31.70,0.907167,0.905512
31.71,0.907111,0.903744
31.72,0.907056,0.900165
31.73,0.907000,0.895932
31.74,0.906944,0.896492
31.75,0.906889,0.901353
31.76,0.906833,0.902143
31.77,0.906778,0.903660
31.78,0.906722,0.904166
31.79,0.906667,0.898843
31.80,0.906611,0.893432
31.81,0.906556,0.888457
31.82,0.906500,0.889949
31.83,0.906444,0.887966
31.84,0.906389,0.893795
31.85,0.906333,0.891936
31.86,0.906278,0.889899
31.87,0.906222,0.889555
31.88,0.906167,0.885631
31.89,0.906111,0.889950
31.90,0.906056,0.888325
31.91,0.906000,0.891226
31.92,0.905944,0.894499
31.93,0.905889,0.899182
31.94,0.905833,0.903820
31.95,0.905778,0.902875
31.96,0.905722,0.903975
31.97,0.905667,0.904066
31.98,0.905611,0.904076
31.99,0.905556,0.907386
32.00,0.905500,0.907463
32.01,0.905444,0.908587
32.02,0.905389,0.907426
32.03,0.905333,0.904421
32.04,0.905278,0.904721
32.05,0.905222,0.903207
32.06,0.905167,0.908859
32.07,0.905111,0.914139
32.08,0.905056,0.908170
32.09,0.905000,0.911365
32.10,0.904944,0.907340
32.11,0.904889,0.906270
32.12,0.904833,0.904477
32.13,0.904778,0.900776
32.14,0.904722,0.907622
32.15,0.904667,0.906468
32.16,0.904611,0.906617
32.17,0.904556,0.904658
32.18,0.904500,0.906359
32.19,0.904444,0.906361
32.20,0.904389,0.905530
32.21,0.904333,0.907505
32.22,0.904278,0.909580
32.23,0.904222,0.905793
32.24,0.904167,0.901650
32.25,0.904111,0.903646
32.26,0.904056,0.900458
32.27,0.904000,0.903617
32.28,0.903944,0.905939
32.29,0.903889,0.912802
32.30,0.903833,0.916615
32.31,0.903778,0.915268
32.32,0.903722,0.915164
32.33,0.903667,0.911431
32.34,0.903611,0.916790
32.35,0.903556,0.909912
32.36,0.903500,0.911681
32.37,0.903444,0.912492
32.38,0.903389,0.913968
32.39,0.903333,0.917971
32.40,0.903278,0.917786
32.41,0.903222,0.918128
32.42,0.903167,0.919902
32.43,0.903111,0.921932
32.44,0.903056,0.923147
32.45,0.903000,0.922209
32.46,0.902944,0.915683
32.47,0.902889,0.916077
32.48,0.902833,0.914255
32.49,0.902778,0.917186
32.50,0.902722,0.913210
32.51,0.902667,0.908425
32.52,0.902611,0.908170
32.53,0.902556,0.909207
32.54,0.902500,0.904747
32.55,0.902444,0.899873
32.56,0.902389,0.902271
32.57,0.902333,0.901109
32.58,0.902278,0.904536
32.59,0.902222,0.901024
32.60,0.902167,0.894026
32.61,0.902111,0.896644
32.62,0.902056,0.898207
32.63,0.902000,0.902466
32.64,0.901944,0.903031
32.65,0.901889,0.904493
32.66,0.901833,0.902795
32.67,0.901778,0.902278
32.68,0.901722,0.903761
32.69,0.901667,0.902532
32.70,0.901611,0.905151
32.71,0.901556,0.906482
32.72,0.901500,0.909299
32.73,0.901444,0.912496
